Date,Store,Category,Expense,Income,Account,Notes
1/1/2025,Shelby Jackson LLC,Rent,985.41,,StarBank 0101,
1/2/2025,Apple Cash,Utility,,156.00,StarBank 0101,
1/3/2025,JP's Coatings,Income,,470.09,StarBank 0101,
1/6/2025,Xcel Energy,Utility,207.20,,StarBank 0101,
1/7/2025,Tori Ramen,Restaurant,25.00,,StarBank 0101,
1/10/2025,JP's Coatings,Income,,325.46,StarBank 0101,
1/13/2025,StarBank,Grocery,,40.00,StarBank 0101,
1/17/2025,University of MN,Loan,,"3,987.63",StarBank 0101,
1/17/2025,JP's Coatings,Income,,325.46,StarBank 0101,
1/23/2025,Fresh Thyme,Misc,11.99,,StarBank 0101,
1/23/2025,Fresh Thyme,Grocery,51.71,,StarBank 0101,
1/24/2025,StarBank 8343,Loan,,"3,292.37",StarBank 0101,
1/27/2025,Top Ten Liquors,Fun,12.22,,StarBank 0101,
1/27/2025,University of MN,Loan,,179.79,StarBank 0101,
1/29/2025,Fresh Thyme,Grocery,66.27,,StarBank 0101,
1/30/2025,Chipotle,Restaurant,9.05,,StarBank 0101,
1/31/2025,ASPIRE,Loan,30.00,,StarBank 0101,
1/5/2025,Goodwill,Clothing,44.00,,Discover 8649,
1/10/2025,Chipotle,Restaurant,12.62,,Discover 8649,
1/12/2025,Cub Foods,Grocery,45.97,,Discover 8649,
1/13/2025,Target,Grocery,112.05,,Discover 8649,
1/13/2025,Fresh Thyme,Grocery,39.70,,Discover 8649,
1/16/2025,Target,Misc,4.73,,Discover 8649,
1/17/2025,Target,Grocery,19.32,,Discover 8649,
1/17/2025,Chipotle,Restaurant,12.37,,Discover 8649,
1/22/2025,Target,Grocery,93.43,,Discover 8649,
1/25/2025,Target,Grocery,10.96,,Discover 8649,
1/28/2025,Fresh Thyme,Grocery,23.98,,Discover 8649,
1/31/2025,Target,Misc,2.55,,Discover 8649,
2/3/2025,Fresh Thyme,Grocery,72.28,,Discover 8649,
2/3/2025,Fresh Thyme,Misc,11.99,,Discover 8649,
2/1/2025,Shelby Jackson LLC,Rent,900.00,,StarBank 0101,
2/3/2025,JP's Coatings,Gas,,21.43,StarBank 0101,
2/3/2025,Target,Misc,4.56,,StarBank 0101,
2/4/2025,ASPIRE,Loan,60.00,,StarBank 0101,
2/5/2025,University of MN,Income,,80.15,StarBank 0101,
2/10/2025,StarBank 8343,Loan,,292.37,StarBank 0101,
2/10/2025,Venmo,Utility,,75.00,StarBank 0101,
2/11/2025,Apple Cash,Utility,,76.00,StarBank 0101,
2/12/2025,Apple Cash,Utility,,85.00,StarBank 0101,
2/13/2025,ASPIRE,Loan,15.00,,StarBank 0101,
2/18/2025,Venmo,Misc,,20.00,StarBank 0101,
2/18/2025,Campus Tobacco,Misc,19.00,,StarBank 0101,
2/18/2025,Top Ten Liquors,Fun,20.03,,StarBank 0101,
2/18/2025,Amazon,Misc,21.79,,StarBank 0101,
2/18/2025,Target,Grocery,25.39,,StarBank 0101,
2/18/2025,Target,Grocery,46.37,,StarBank 0101,
2/18/2025,Fresh Thyme,Grocery,81.77,,StarBank 0101,
2/19/2025,University of MN,Income,,152.29,StarBank 0101,
2/28/2025,ASPIRE,Loan,30.00,,StarBank 0101,
2/5/2025,Target,Grocery,30.89,,Discover 8649,
2/5/2025,Target,Grocery,11.73,,Discover 8649,
2/7/2025,Target,Misc,4.84,,Discover 8649,
2/8/2025,Target,Grocery,39.41,,Discover 8649,
2/9/2025,Fresh Thyme,Grocery,46.46,,Discover 8649,
2/9/2025,Fresh Thyme,Misc,15.47,,Discover 8649,
2/20/2025,Target,Grocery,39.05,,Discover 8649,
2/20/2025,Fresh Thyme,Grocery,117.35,,Discover 8649,
2/22/2025,Ferry Morse,School,10.11,,Discover 8649,
2/25/2025,Target,Grocery,24.09,,Discover 8649,
